server,N,connect_rate,msg_rate,latency_p50_ms,latency_p95_ms,latency_p99_ms,test_duration_s
server_select,10,10000,100,0.0,0.2,0.6,10.0001
server_select,100,10000,100,0.1,0.2,0.8,10.0004
server_select,1000,10000,100,0.3,0.6,0.7,10.0003
server_select,1500,10000,100,NaN,NaN,NaN,NaN
server_select,2000,10000,100,NaN,NaN,NaN,NaN
server_select,2500,10000,100,NaN,NaN,NaN,NaN
server_select,3500,10000,100,NaN,NaN,NaN,NaN
server_select,4000,10000,100,NaN,NaN,NaN,NaN
server_select,4500,10000,100,NaN,NaN,NaN,NaN
server_select,5000,10000,100,NaN,NaN,NaN,NaN
server_select,6000,10000,100,NaN,NaN,NaN,NaN
server_select,7500,10000,100,NaN,NaN,NaN,NaN
server_select,9000,10000,100,NaN,NaN,NaN,NaN
server_select,10000,10000,100,NaN,NaN,NaN,NaN
server_poll,10,10000,100,0.0,0.1,0.2,10.0001
server_poll,100,10000,100,0.1,0.2,0.2,10.0005
server_poll,1000,10000,100,0.3,0.5,0.6,10.0004
server_poll,1500,10000,100,0.5,1.0,1.6,10.0007
server_poll,2000,10000,100,26.2,34.4,36.2,10.0002
server_poll,2500,10000,100,33.2,43.1,44.1,10.0004
server_poll,3500,10000,100,48.4,63.6,65.1,10.0011
server_poll,4000,10000,100,57.5,75.9,77.7,10.0009
server_poll,4500,10000,100,41.3,76.0,90.9,10.0006
server_poll,5000,10000,100,44.7,73.8,81.2,10.0006
server_poll,6000,10000,100,1031.9,1308.7,1516.7,10.0005
server_poll,7500,10000,100,970.3,1323.9,1587.9,10.0005
server_poll,9000,10000,100,1023.9,1753.5,2307.1,10
server_poll,10000,10000,100,1072.7,2076.7,2614.3,10.0002
server_epoll,10,10000,100,0.0,0.1,0.2,10.0004
server_epoll,100,10000,100,0.0,0.1,0.2,10.0009
server_epoll,1000,10000,100,0.1,0.2,0.4,10.0006
server_epoll,1500,10000,100,0.1,0.4,0.8,10.0001
server_epoll,2000,10000,100,0.1,0.5,1.1,10.0002
server_epoll,2500,10000,100,27.6,36.2,37.4,10.0008
server_epoll,3500,10000,100,46.2,60.5,62.3,10.001
server_epoll,4000,10000,100,53.5,70.2,72.0,10.0005
server_epoll,4500,10000,100,47.4,93.2,124.7,10.0002
server_epoll,5000,10000,100,41.9,75.7,91.3,10.0001
server_epoll,6000,10000,100,951.9,1233.5,1473.5,10.0008
server_epoll,7500,10000,100,962.3,1291.1,1553.5,10.001
server_epoll,9000,10000,100,1094.3,2059.1,2223.9,10.0005
server_epoll,10000,10000,100,1106.3,2228.7,2567.9,10.0003
server_iouring,10,10000,100,0.0,0.2,0.2,10.0005
server_iouring,100,10000,100,0.1,0.1,0.2,10.0002
server_iouring,1000,10000,100,0.1,0.3,0.5,10.0001
server_iouring,1500,10000,100,0.2,0.5,0.7,10
server_iouring,2000,10000,100,22.5,30.9,32.0,10.001
server_iouring,2500,10000,100,30.3,43.6,45.9,10.001
server_iouring,3500,10000,100,31.4,50.0,54.5,10.0003
server_iouring,4000,10000,100,36.9,56.1,60.8,10.0007
server_iouring,4500,10000,100,32.1,50.0,60.3,10.001
server_iouring,5000,10000,100,32.9,48.0,52.3,10.0002
server_iouring,6000,10000,100,33.0,47.9,60.6,10.0007
server_iouring,7500,10000,100,34.9,53.6,76.5,10
server_iouring,9000,10000,100,45.2,57.8,87.1,10.0005
server_iouring,10000,10000,100,44.9,63.1,255.7,10.0004
