% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 43.57    1.112629          24     44691           sendto
 31.62    0.807457          18     44693           recvfrom
  7.92    0.202357          10     20004           fcntl
  6.21    0.158614          15     10011        10 accept
  4.78    0.121934          12     10002           epoll_ctl
  3.98    0.101542          10     10002           setsockopt
  1.02    0.026077          57       451           epoll_pwait
  0.40    0.010281          98       104           write
  0.31    0.008039          25       316           brk
  0.18    0.004529          14       313           madvise
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         3           close
  0.00    0.000000           0         1           read
  0.00    0.000000           0         3           fstat
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           socket
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         3           munmap
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         8           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    2.553459          18    140623        11 total
