% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.61    9.662779        1613      5988           io_uring_enter
  0.32    0.030603          10      2993           setsockopt
  0.02    0.002399          63        38           write
  0.02    0.001965          19       100           brk
  0.02    0.001563          16        96           madvise
  0.00    0.000381          34        11           mmap
  0.00    0.000201         201         1           io_uring_setup
  0.00    0.000124         124         1           bind
  0.00    0.000113          28         4           mprotect
  0.00    0.000056          56         1           rseq
  0.00    0.000051          51         1           socket
  0.00    0.000043          43         1           listen
  0.00    0.000037          12         3           munmap
  0.00    0.000033          33         1           getrandom
  0.00    0.000032          32         1           prlimit64
  0.00    0.000030          30         1           rt_sigaction
  0.00    0.000028           9         3           fstat
  0.00    0.000027          13         2           fcntl
  0.00    0.000026          26         1           set_tid_address
  0.00    0.000023          23         1           set_robust_list
  0.00    0.000022          11         2           close
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    9.700536        1048      9255         1 total
