% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.89    0.313067          31     10000           sendto
 33.89    0.200589          20     10006           recvfrom
 12.95    0.076659          30      2520         1 ppoll
  0.06    0.000331          41         8           mmap
  0.05    0.000281          21        13           close
  0.03    0.000183         183         1           socket
  0.03    0.000175          43         4           mprotect
  0.02    0.000123           5        24           fcntl
  0.02    0.000102           7        14         3 accept
  0.01    0.000066           5        12           setsockopt
  0.01    0.000066          22         3           munmap
  0.01    0.000038          38         1           bind
  0.01    0.000035          35         1           rseq
  0.01    0.000034          34         1           prlimit64
  0.01    0.000032          32         1           listen
  0.01    0.000030          30         1           getrandom
  0.00    0.000029          29         1           set_tid_address
  0.00    0.000029          29         1           set_robust_list
  0.00    0.000028          28         1           rt_sigaction
  0.00    0.000011           3         3           brk
  0.00    0.000004           1         3           fstat
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         1           read
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.591912          26     22624         5 total
