% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.50    1.049066          11     94629           close
 32.58    0.529908           5     95648         1 accept
  1.71    0.027857          29       957           write
  0.76    0.012349           6      2042           fcntl
  0.31    0.005028           4      1021           setsockopt
  0.04    0.000680         680         1           execve
  0.02    0.000374          46         8           mmap
  0.01    0.000232           7        32           madvise
  0.01    0.000219           6        35           brk
  0.01    0.000205          68         3           munmap
  0.01    0.000108         108         1           rseq
  0.01    0.000093          31         3           fstat
  0.01    0.000090          22         4           mprotect
  0.00    0.000057          19         3           pselect6
  0.00    0.000050          25         2           openat
  0.00    0.000039          39         1           read
  0.00    0.000034          34         1           set_robust_list
  0.00    0.000033          33         1         1 faccessat
  0.00    0.000033          33         1           set_tid_address
  0.00    0.000026          26         1           bind
  0.00    0.000021          21         1           socket
  0.00    0.000020          20         1           prlimit64
  0.00    0.000009           9         1           listen
  0.00    0.000005           5         1           recvfrom
  0.00    0.000004           4         1           rt_sigaction
  0.00    0.000004           4         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    1.626544           8    194400         2 total
