server,N,connect_rate,avg_cpu_pct,max_cpu_pct,avg_vol_cswch,avg_invol_cswch,sample_count,test_duration_s
server_select,10,10000,0,0,0,10,0,10.0003
server_select,100,10000,0,2.312,0.11,10,0,10.0002
server_select,1000,10000,0.2,2.00,9.39909,0.2,11,10.0002
server_select,1500,10000,37.2,38.00,897.5,34.6,11,NaN
server_select,2000,10000,36.3636,37.00,901.755,32.45,11,NaN
server_select,2500,10000,35.9,37.00,895.7,45,11,NaN
server_select,3500,10000,35.9,37.00,896.3,30.2,11,NaN
server_select,4000,10000,36.6,38.00,895.4,33.7,11,NaN
server_select,4500,10000,36.2,37.00,895.7,28.6,11,NaN
server_select,5000,10000,36.1,37.00,895.5,32,11,NaN
server_select,6000,10000,36.1,37.00,896.2,30.6,11,NaN
server_select,7500,10000,36.4,37.00,896.1,30.4,11,NaN
server_select,9000,10000,36.1,37.00,895.8,38.2,11,NaN
server_select,10000,10000,36.2,37.00,897.4,32.8,11,NaN
server_poll,10,10000,0,0.111,0,10,0,10.0002
server_poll,100,10000,0,2.666,0,10,0,10.0006
server_poll,1000,10000,0.1,1.00,9.69909,0.2,11,10.0005
server_poll,1500,10000,0.3,3.00,14.0991,0.2,11,10.0009
server_poll,2000,10000,0.5,5.00,17.3982,0.4,11,10.001
server_poll,2500,10000,0.8,8.00,21.8964,0.5,11,10.0004
server_poll,3500,10000,1.6,16.00,29.4945,1.2,11,10.0007
server_poll,4000,10000,2.1,21.00,31.5973,0.2,11,10.0004
server_poll,4500,10000,2.69909,27.00,30.5945,0.6,11,10.001
server_poll,5000,10000,2.87273,28.71,33.9818,0.297273,11,10.0002
server_poll,6000,10000,3.89909,39.00,33.2936,0.6,11,10.001
server_poll,7500,10000,5.49818,55.00,35.29,0.7,11,10.0005
server_poll,9000,10000,23.2807,97.00,23.9293,392.196,14,10.001
server_poll,10000,10000,45.1162,99.00,28.8292,235.024,13,10.0002
server_epoll,10,10000,0,0,0,10,0,10.0009
server_epoll,100,10000,0,1.888,0,10,0,10.0003
server_epoll,1000,10000,0.1,1.00,14.6991,0.1,11,10.0003
server_epoll,1500,10000,0.1,1.00,19.7982,0.2,11,10
server_epoll,2000,10000,0.0990909,0.99,27.84,0.0990909,11,10.0003
server_epoll,2500,10000,0.0990909,0.99,35.9673,0.198182,11,10.0004
server_epoll,3500,10000,0.2,2.00,50.6,0.1,11,10.0003
server_epoll,4000,10000,0.3,3.00,57.7945,0.3,11,10.0002
server_epoll,4500,10000,0.297273,2.97,67.3755,0.198182,11,10.0001
server_epoll,5000,10000,0.297273,2.97,75.9964,0.198182,11,10.001
server_epoll,6000,10000,0.4,4.00,92.3836,0.3,11,10.0003
server_epoll,7500,10000,0.5,5.00,150,0.5,11,10.0005
server_epoll,9000,10000,3.91692,10.00,1305.58,12.75,13,10.0001
server_epoll,10000,10000,1.2912,6.00,621.573,5.7808,25,10
server_iouring,10,10000,0,0.222,0,10,0,10.0004
server_iouring,100,10000,0,3.11,0,10,0,10.0005
server_iouring,1000,10000,0.1,1.00,12.3982,0.1,11,10.0002
server_iouring,1500,10000,0.1,1.00,18.7982,0.2,11,10.0005
server_iouring,2000,10000,0.0990909,0.99,26.7545,0.297273,11,10.0003
server_iouring,2500,10000,0.2,2.00,31.1973,0.2,11,10.0009
server_iouring,3500,10000,0.2,2.00,46.5918,0.9,11,10.0003
server_iouring,4000,10000,0.2,2.00,53.99,0.3,11,10.0005
server_iouring,4500,10000,0.3,3.00,62.7882,0,11,10.0005
server_iouring,5000,10000,0.4,4.00,71.5873,0.2,11,10.0005
server_iouring,6000,10000,0.4,4.00,94.3918,0.4,11,10.0007
server_iouring,7500,10000,0.5,5.00,151.259,1.1,11,10.0002
server_iouring,9000,10000,3.24769,8.00,1144.97,222.345,13,10.0008
server_iouring,10000,10000,2.27,8.00,885.53,238.848,12,10.0003
