server,N,connect_rate,bandwidth_down_mbps,bandwidth_up_mbps,packet_rate,test_duration_s
server_select,10,10000,4465.426,4480.211,438254.0,10.0006
server_select,100,10000,4343.126,4560.187,407049.6,10.0004
server_select,1000,10000,4024.568,4080.438,399041.7,10.0008
server_select,1500,10000,NaN,NaN,NaN,NaN
server_select,2000,10000,NaN,NaN,NaN,NaN
server_select,2500,10000,NaN,NaN,NaN,NaN
server_select,3500,10000,NaN,NaN,NaN,NaN
server_select,4000,10000,NaN,NaN,NaN,NaN
server_select,4500,10000,NaN,NaN,NaN,NaN
server_select,5000,10000,NaN,NaN,NaN,NaN
server_select,6000,10000,NaN,NaN,NaN,NaN
server_select,7500,10000,NaN,NaN,NaN,NaN
server_select,9000,10000,NaN,NaN,NaN,NaN
server_select,10000,10000,NaN,NaN,NaN,NaN
server_poll,10,10000,4300.524,4315.189,423125.0,10.0011
server_poll,100,10000,4278.131,4423.898,390350.1,10.0003
server_poll,1000,10000,4050.449,4022.605,416163.9,10.0009
server_poll,1500,10000,3215.147,3218.458,290086.4,10.0007
server_poll,2000,10000,3121.830,3002.820,287920.1,10.0003
server_poll,2500,10000,2979.942,2635.127,309084.2,10.0003
server_poll,3500,10000,2901.545,3105.851,287226.4,10.0003
server_poll,4000,10000,2781.779,2499.389,299605.5,10.0004
server_poll,4500,10000,2726.210,2506.204,303148.9,10.0006
server_poll,5000,10000,2363.990,2216.721,211116.7,10.0001
server_poll,6000,10000,2288.525,2078.973,205224.8,10.0003
server_poll,7500,10000,2353.672,2126.625,215124.8,10.0001
server_poll,9000,10000,2080.660,1877.353,190672.0,10
server_poll,10000,10000,2340.362,2081.937,214440.0,10.0007
server_epoll,10,10000,3239.439,3254.127,292661.2,10.0002
server_epoll,100,10000,3959.910,4115.148,355727.3,10.001
server_epoll,1000,10000,3468.952,3414.502,363978.9,10.001
server_epoll,1500,10000,3019.297,2942.572,260378.9,10.0003
server_epoll,2000,10000,2738.744,2403.100,312465.7,10.001
server_epoll,2500,10000,2667.966,2342.013,236016.9,10.0009
server_epoll,3500,10000,3046.844,3141.641,313163.4,10.0004
server_epoll,4000,10000,3161.684,3338.180,324867.3,10.0004
server_epoll,4500,10000,2959.092,2713.020,334052.5,10.0002
server_epoll,5000,10000,2746.883,2539.138,249263.1,10.001
server_epoll,6000,10000,3278.162,3005.386,299494.8,10.0008
server_epoll,7500,10000,2527.756,2368.535,231538.5,10.0005
server_epoll,9000,10000,2475.944,2356.892,226648.8,10.0005
server_epoll,10000,10000,2500.639,2385.764,228748.7,10.0002
server_iouring,10,10000,4417.367,4432.129,415908.7,10.0008
server_iouring,100,10000,4311.686,4458.141,394418.7,10.0001
server_iouring,1000,10000,3109.164,2812.438,286890.0,10.0007
server_iouring,1500,10000,2945.543,2630.472,270863.6,10.0007
server_iouring,2000,10000,2410.951,2072.098,221590.0,10.0008
server_iouring,2500,10000,2720.168,2431.465,249990.5,10.0002
server_iouring,3500,10000,2876.392,2663.563,264817.1,10.0006
server_iouring,4000,10000,2693.023,2471.379,247912.1,10.001
server_iouring,4500,10000,2767.852,2414.231,254698.9,10
server_iouring,5000,10000,2756.141,2442.403,253617.0,10.0002
server_iouring,6000,10000,2748.452,2385.166,253813.8,10.0007
server_iouring,7500,10000,2715.509,2289.946,250829.9,10.0008
server_iouring,9000,10000,2625.776,2246.070,241495.7,10.0011
server_iouring,10000,10000,2472.423,2154.353,226062.8,10.0002
