Engine,Connections,Throughput_Mbps,P99_Latency_ms,Syscalls,Context_Switches
select,10,6863.258,1.0,85220,72
select,100,5851.111,0.7,87349,100
select,500,5828.641,0.5,82984,87
select,1000,6041.643,0.9,530,70
select,1500,4708.878,1.2,16,85
select,2000,4234.345,2.0,76426,80
select,2500,3813.502,2.2,120,87
select,3000,3882.027,2.3,56,92
select,3500,3767.504,3.8,554,89
select,4000,3476.115,15.8,432,96
select,4500,3832.89,16.3,92,84
select,5000,3644.148,11.5,65,117
poll,10,7231.302,0.6,92219,75
poll,100,6574.964,0.7,84991,76
poll,500,5767.284,0.9,72604,80
poll,1000,5326.88,0.9,57,83
poll,1500,4660.747,1.2,25,70
poll,2000,4416.621,1.4,67193,79
poll,2500,3990.893,2.5,226,71
poll,3000,3880.415,2.5,61,74
poll,3500,3832.0,2.5,143,78
poll,4000,3717.6,9.1,539,91
poll,4500,3792.425,7.1,193,78
poll,5000,3601.111,12.0,58,93
epoll,10,7354.381,0.6,78250,89
epoll,100,6538.263,0.3,70536,83
epoll,500,6198.023,0.4,62148,95
epoll,1000,5451.471,0.6,539,80
epoll,1500,3567.197,0.8,97,85
epoll,2000,3642.548,0.8,24,66
epoll,2500,3470.883,3.7,272,72
epoll,3000,3459.38,3.2,63,65
epoll,3500,3178.374,1.9,965,64
epoll,4000,3930.815,2.2,249,95
epoll,4500,3723.225,1.8,266,64
epoll,5000,3687.646,1.9,273,86
iouring,10,6787.294,1.0,70598,84
iouring,100,6521.023,0.3,36388,85
iouring,500,5501.69,0.5,11435,83
iouring,1000,4805.246,0.9,5649,79
iouring,1500,3930.212,1.5,3003,72
iouring,2000,3638.769,1.5,2643,80
iouring,2500,3252.594,1.5,2839,85
iouring,3000,2995.76,2.7,3436,93
iouring,3500,3177.093,4.3,4487,79
iouring,4000,3055.049,14.7,4856,87
iouring,4500,2919.109,36.0,4732,104
iouring,5000,2812.868,50.3,6637,83
iouring_sqpoll,10,168.46,1.0,5088,20001
iouring_sqpoll,100,1678.463,1.0,5087,20012
iouring_sqpoll,500,3812.795,1.1,3346,10165
iouring_sqpoll,1000,3407.149,1.4,1990,5201
iouring_sqpoll,1500,3185.855,1.6,1506,3503
iouring_sqpoll,2000,3138.51,1.7,1981,2691
iouring_sqpoll,2500,2936.125,2.1,2905,3112
iouring_sqpoll,3000,3103.708,4.1,3396,4165
iouring_sqpoll,3500,3327.972,2.8,4172,6780
iouring_sqpoll,4000,3161.988,5.2,4141,6472
iouring_sqpoll,4500,3172.159,10.1,4344,6857
iouring_sqpoll,5000,3594.645,3.4,4436,7999
