Engine,Connections,Throughput_Up_Mbps,Throughput_Down_Mbps,P99_Latency_ms,Syscalls,Context_Switches
select,10,6863.258,6852.258,1.0,85220,72
select,100,5851.111,5568.569,0.7,87349,100
select,500,5828.641,5541.327,0.5,82984,87
select,1000,6041.643,5990.787,0.9,72007,70
select,1500,4708.878,4866.404,1.2,69369,85
select,2000,4234.345,4431.373,2.0,76426,80
select,2500,3813.502,3981.355,2.2,81778,87
select,3000,3882.027,4057.048,2.3,78970,92
select,3500,3767.504,3849.336,3.8,70635,89
select,4000,3476.115,3657.643,15.8,69124,96
select,4500,3832.89,3659.24,16.3,76276,84
select,5000,3644.148,3720.618,11.5,70142,117
poll,10,7231.302,7220.883,0.6,92219,75
poll,100,6574.964,6390.107,0.7,84991,76
poll,500,5767.284,5664.073,0.9,72604,80
poll,1000,5326.88,5306.197,0.9,66115,83
poll,1500,4660.747,4774.527,1.2,65756,70
poll,2000,4416.621,4598.123,1.4,67193,79
poll,2500,3990.893,4152.696,2.5,66752,71
poll,3000,3880.415,4044.683,2.5,69225,74
poll,3500,3832.0,3936.844,2.5,72960,78
poll,4000,3717.6,3874.504,9.1,76387,91
poll,4500,3792.425,3823.834,7.1,66724,78
poll,5000,3601.111,3600.123,12.0,64374,93
epoll,10,7354.381,7340.904,0.6,78250,89
epoll,100,6538.263,6372.282,0.3,70536,83
epoll,500,6198.023,5920.348,0.4,62148,95
epoll,1000,5451.471,5453.798,0.6,76834,80
epoll,1500,3567.197,3685.638,0.8,67981,85
epoll,2000,3642.548,3793.852,0.8,70109,66
epoll,2500,3470.883,3648.252,3.7,69870,72
epoll,3000,3459.38,3667.676,3.2,69218,65
epoll,3500,3178.374,3344.564,1.9,73184,64
epoll,4000,3930.815,3707.927,2.2,67644,95
epoll,4500,3723.225,3584.479,1.8,69633,64
epoll,5000,3687.646,3504.5,1.9,69308,86
iouring,10,6787.294,6775.611,1.0,70598,84
iouring,100,6521.023,6343.074,0.3,36388,85
iouring,500,5501.69,5571.157,0.5,11435,83
iouring,1000,4805.246,4985.095,0.9,5649,79
iouring,1500,3930.212,4135.455,1.5,3003,72
iouring,2000,3638.769,3828.319,1.5,2643,80
iouring,2500,3252.594,3456.871,1.5,2839,85
iouring,3000,2995.76,3236.38,2.7,3436,93
iouring,3500,3177.093,3282.361,4.3,4487,79
iouring,4000,3055.049,3174.26,14.7,4856,87
iouring,4500,2919.109,3043.35,36.0,4732,104
iouring,5000,2812.868,2908.802,50.3,6637,83
iouring_sqpoll,10,168.46,158.726,1.0,5088,20001
iouring_sqpoll,100,1678.463,1582.119,1.0,5087,20012
iouring_sqpoll,500,3812.795,3955.955,1.1,3346,10165
iouring_sqpoll,1000,3407.149,3632.53,1.4,1990,5201
iouring_sqpoll,1500,3185.855,3403.106,1.6,1506,3503
iouring_sqpoll,2000,3138.51,3360.774,1.7,1981,2691
iouring_sqpoll,2500,2936.125,3204.677,2.1,2905,3112
iouring_sqpoll,3000,3103.708,3359.044,4.1,3396,4165
iouring_sqpoll,3500,3327.972,3515.063,2.8,4172,6780
iouring_sqpoll,4000,3161.988,3369.371,5.2,4141,6472
iouring_sqpoll,4500,3172.159,3425.026,10.1,4344,6857
iouring_sqpoll,5000,3594.645,3720.197,3.4,4436,7999
