% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.95    1.003252          30     32636        51 sendto
 38.91    0.651096          20     31860           recvfrom
  1.11    0.018590        1549        12           ppoll
  0.01    0.000132          26         5         2 accept
  0.01    0.000093          15         6           fcntl
  0.00    0.000083          41         2           close
  0.00    0.000059          19         3           setsockopt
  0.00    0.000056          28         2           write
------ ----------- ----------- --------- --------- ----------------
100.00    1.673361          25     64526        53 total
